time,altitude,velocity
349.000000,478.388414,2.414003
350.000000,480.801462,2.410974
351.000000,483.220325,2.407947
352.000000,485.644994,2.404922
353.000000,488.075461,2.401900
354.000000,490.511717,2.398881
355.000000,492.953753,2.395864
356.000000,495.401561,2.392850
357.000000,497.855131,2.389838
358.000000,500.314455,2.386829
359.000000,502.779524,2.383823
360.000000,505.250328,2.380819
361.000000,507.726861,2.377818
362.000000,510.209111,2.374819
363.000000,512.697071,2.371824
364.000000,515.190731,2.368831
365.000000,517.690083,2.365841
366.000000,520.195117,2.362854
367.000000,522.705825,2.359870
368.000000,525.222198,2.356888
369.000000,527.744226,2.353909
370.000000,530.271901,2.350934
371.000000,532.805214,2.347961
372.000000,535.344155,2.344991
373.000000,537.888716,2.342024
374.000000,540.438887,2.339060
375.000000,542.994659,2.336100
376.000000,545.556024,2.333142
377.000000,548.122971,2.330187
378.000000,550.695493,2.327235
379.000000,553.273579,2.324287
380.000000,555.857221,2.321341
381.000000,558.446410,2.318399
382.000000,561.041136,2.315460
383.000000,563.641390,2.312524
384.000000,566.247162,2.309591
385.000000,568.858444,2.306661
386.000000,571.475227,2.303735
387.000000,574.097501,2.300812
388.000000,576.725256,2.297892
389.000000,579.358484,2.294975
390.000000,581.997175,2.292062
391.000000,584.641320,2.289152
392.000000,587.290910,2.286245
393.000000,589.945934,2.283341
394.000000,592.606385,2.280441
395.000000,595.272252,2.277545
396.000000,597.943526,2.274651
397.000000,600.620197,2.271761
398.000000,603.302257,2.268875
399.000000,605.989695,2.265992
400.000000,608.682503,2.263112
401.000000,611.380670,2.260236
402.000000,614.084188,2.257363
403.000000,616.793047,2.254494
404.000000,619.507237,2.251628
405.000000,622.226749,2.248766
406.000000,624.951573,2.245907
407.000000,627.681700,2.243052
408.000000,630.417120,2.240200
409.000000,633.157824,2.237352
410.000000,635.903802,2.234507
411.000000,638.655045,2.231667
412.000000,641.411542,2.228829
413.000000,644.173285,2.225995
414.000000,646.940263,2.223165
415.000000,649.712467,2.220339
416.000000,652.489887,2.217516
417.000000,655.272514,2.214697
418.000000,658.060338,2.211881
419.000000,660.853349,2.209069
420.000000,663.651538,2.206261
421.000000,666.454895,2.203457
422.000000,669.263409,2.200656
423.000000,672.077072,2.197859
424.000000,674.895874,2.195065
425.000000,677.719804,2.192276
426.000000,680.548854,2.189490
427.000000,683.383013,2.186708
428.000000,686.222271,2.183929
429.000000,689.066619,2.181155
430.000000,691.916046,2.178384
431.000000,694.770544,2.175617
432.000000,697.630102,2.172854
433.000000,700.494710,2.170094
